batch size,context size,SM count,milliseconds
16,32768,128,0.7001791954040527
16,32768,132,0.6907456159591675
32,8,8,0.09215999990701676
32,8,16,0.05288320034742355
32,8,32,0.03302399963140488
32,8,48,0.028652800247073174
32,8,64,0.023532800376415253
32,8,96,0.021663999930024148
32,8,128,0.01931520029902458
32,8,132,0.019007999822497366
32,1024,8,0.7555520176887512
32,1024,16,0.3865664005279541
32,1024,32,0.2021375983953476
32,1024,48,0.15531519949436187
32,1024,64,0.10926720201969146
32,1024,96,0.09043840169906617
32,1024,128,0.06539520025253295
32,1024,132,0.0651519998908043
32,2048,8,1.4661120176315308
32,2048,16,0.7433215975761414
32,2048,32,0.38139520287513734
32,2048,48,0.29081599712371825
32,2048,64,0.1999296009540558
32,2048,96,0.1620223969221115
32,2048,128,0.11485439985990524
32,2048,132,0.114656001329422
32,4096,8,2.883910369873047
32,4096,16,1.455846405029297
32,4096,32,0.7428799986839294
32,4096,48,0.5694207906723022
32,4096,64,0.3881599962711334
32,4096,96,0.3118144035339355
32,4096,128,0.21440000236034393
32,4096,132,0.21401599943637847
32,8192,8,5.817868709564209
32,8192,16,2.9295615673065187
32,8192,32,1.481823992729187
32,8192,48,1.1178880214691163
32,8192,64,0.7566784024238586
32,8192,96,0.5997888088226319
32,8192,128,0.4041663944721222
32,8192,132,0.40261120200157163
32,16384,8,11.58908805847168
32,16384,16,5.816857719421387
32,16384,32,2.904243230819702
32,16384,48,2.1788671970367433
32,16384,64,1.4688319921493531
32,16384,96,1.1538367986679077
32,16384,128,0.7798720121383667
32,16384,132,0.7782271981239319
32,32768,8,23.196672439575195
32,32768,16,11.38614387512207
32,32768,32,5.724863910675049
32,32768,48,4.304160022735596
32,32768,64,2.896166467666626
32,32768,96,2.2719935894012453
32,32768,128,1.5433535814285277
32,32768,132,1.5404223918914794
64,8,8,0.17926400303840637
64,8,16,0.0971455991268158
64,8,32,0.05530240014195442
64,8,48,0.04358400031924248
64,8,64,0.0355712004005909
64,8,96,0.03039360009133816
64,8,128,0.025036799535155297
64,8,132,0.025017599761486053
64,1024,8,1.7150015830993652
64,1024,16,0.8672000050544739
64,1024,32,0.44239360094070435
64,1024,48,0.30986879467964173
64,1024,64,0.23119360208511353
64,1024,96,0.17754240334033966
64,1024,128,0.12822400033473969
64,1024,132,0.12837759852409364
64,2048,8,3.1406464099884035
64,2048,16,1.5306496381759644
64,2048,32,0.7659647941589356
64,2048,48,0.5325183987617492
64,2048,64,0.3937407970428467
64,2048,96,0.3033280074596405
64,2048,128,0.21798399984836578
64,2048,132,0.2176959991455078
64,4096,8,5.828614330291748
64,4096,16,2.886963224411011
64,4096,32,1.4562431812286376
64,4096,48,1.0105472326278686
64,4096,64,0.7434688091278077
64,4096,96,0.5675520062446594
64,4096,128,0.40183680057525634
64,4096,132,0.40179839730262756
64,8192,8,11.547232055664063
64,8192,16,5.869888019561768
64,8192,32,2.948051166534424
64,8192,48,2.0289919853210447
64,8192,64,1.460588812828064
64,8192,96,1.1055360078811645
64,8192,128,0.781331193447113
64,8192,132,0.7818943977355957
64,16384,8,22.924140548706056
64,16384,16,11.428819274902343
64,16384,32,5.7322687149047855
64,16384,48,3.961401653289795
64,16384,64,2.896569585800171
64,16384,96,2.1836671829223633
64,16384,128,1.5446207761764525
64,16384,132,1.5447616100311279
64,32768,8,45.55017623901367
64,32768,16,22.34958724975586
64,32768,32,11.211398315429687
64,32768,48,7.753753662109375
64,32768,64,5.674764728546142
64,32768,96,4.268435287475586
64,32768,128,3.0721856117248536
64,32768,132,3.0767807960510254
128,8,8,0.3157311975955963
128,8,16,0.1667136013507843
128,8,32,0.09075199961662292
128,8,48,0.06606719940900803
128,8,64,0.052447999268770217
128,8,96,0.04135040044784546
128,8,128,0.032710399478673935
128,8,132,0.03258880004286766
128,1024,8,3.266112041473389
128,1024,16,1.5890176057815553
128,1024,32,0.8030208110809326
128,1024,48,0.5566528081893921
128,1024,64,0.41347200274467466
128,1024,96,0.29494400024414064
128,1024,128,0.22615679800510408
128,1024,132,0.22595840096473693
128,2048,8,6.141600036621094
128,2048,16,2.9662335872650147
128,2048,32,1.4675456047058106
128,2048,48,1.0142655849456788
128,2048,64,0.7455552101135254
128,2048,96,0.5240000009536743
128,2048,128,0.40533119440078735
128,2048,132,0.4051520049571991
128,4096,8,11.476204681396485
128,4096,16,5.9282303810119625
128,4096,32,2.971718406677246
128,4096,48,2.0295487880706786
128,4096,64,1.5079871892929078
128,4096,96,1.05895037651062
128,4096,128,0.7951488137245178
128,4096,132,0.7933055996894837
128,8192,8,22.903039932250977
128,8192,16,11.358412933349609
128,8192,32,5.679321575164795
128,8192,48,3.9154623985290526
